s,h,q_eq,f1,f2,regime
-1.9,1.2,0.8571428571428572,0.8897485493230171,-30.673599999999997,stable
-1.9,1.25,0.8333333333333333,0.867132867132867,-33.012499999999996,stable
-1.9,1.3,0.8125,0.8459779671585952,-35.4236,stable
-1.9,1.35,0.7941176470588235,0.8261101157328945,-37.9069,stable
-1.9,1.4,0.7777777777777778,0.8073859522085445,-40.462399999999995,stable
-1.9,1.45,0.7631578947368421,0.7896857373086225,-43.09009999999999,stable
-1.9,1.5,0.75,0.7729083665338649,-45.78999999999999,stable
-1.9,1.55,0.7380952380952381,0.7569676281931055,-48.5621,stable
-1.9,1.6,0.7272727272727273,0.7417893544733865,-51.4064,stable
-1.9,1.65,0.7173913043478262,0.7273092235120941,-54.32289999999999,stable
-1.9,1.7,0.7083333333333333,0.7134710429603347,-57.3116,stable
-1.9,1.75,0.7,0.70022539444027,-60.37249999999999,stable
-1.9,1.8,0.6923076923076924,0.6875285518501599,-63.505599999999994,stable
-1.9,1.85,0.6851851851851851,0.675341609844883,-66.71090000000002,stable
-1.9,1.9,0.6785714285714285,0.6636297753390623,-69.98839999999998,stable
-1.9,1.95,0.6724137931034483,0.6523617867107832,-73.3381,stable
-1.9,2.0,0.6666666666666667,0.641509433962264,-76.75999999999999,stable
-1.85,-2.0,0.4,-3.624999999999981,-28.860000000000003,unstable
-1.85,-1.95,0.3979591836734694,-3.98547754289394,-26.711225,unstable
-1.85,-1.9,0.3958333333333333,-4.426404045781227,-24.6309,unstable
-1.85,-1.85,0.39361702127659576,-4.978165938864588,-22.61902500000001,unstable
-1.85,-1.8,0.391304347826087,-5.688665710186472,-20.675600000000003,unstable
-1.85,-1.75,0.3888888888888889,-6.638069705093837,-18.800625000000004,unstable
-1.85,-1.7,0.38636363636363635,-7.971473851030165,-16.9941,unstable
-1.85,-1.65,0.3837209302325581,-9.981333785847733,-15.256024999999996,unstable
-1.85,-1.6,0.38095238095238093,-13.358208955223954,-13.586400000000008,unstable
-1.85,-1.55,0.3780487804878049,-20.21762785636267,-11.985225000000005,unstable
-1.85,-1.5,0.37500000000000006,-41.69230769234002,-10.452500000000004,unstable
-1.85,-1.45,0.3717948717948718,634.4578312519192,-8.988225,unstable
